name,url,region,status,code,score,score_reliability,score_freshness,score_relevance,score_diversity,demoted
35 Best Caribbean News RSS Feeds,https://rss.feedspot.com/caribbean_news_rss_feeds/,central_america_caribbean,ok,200,7,3,2,1,1,
Central America Newswire - World News Report - EIN Presswire,https://world.einnews.com/region/central-america,central_america_caribbean,forbidden,403,5,1,2,1,1,
Reuters Americas | Latest News in Central & Latin America | Reuters,https://www.reuters.com/world/americas/,central_america_caribbean,http_401,401,5,1,2,1,1,
"South America: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/americas/south-america,think_tanks,ok,200,7,3,2,0,2,
Top 60 Geopolitics RSS Feeds - RSS Database,https://rss.feedspot.com/geopolitics_rss_feeds/,,ok,200,7,3,2,1,1,
RSS | International Crisis Group,https://www.crisisgroup.org/rss-0,sub_saharan_africa,ok,200,9,3,2,2,2,
RSS feeds - Africa Intelligence,https://www.africaintelligence.com/info/rss,sub_saharan_africa,ok,200,9,3,2,2,2,
Africa Intelligence: exclusive news on Africa,https://www.africaintelligence.com/,sub_saharan_africa,ok,200,9,3,2,2,2,
Security : latest news | The Africa Report,https://www.theafricareport.com/sections/security/,sub_saharan_africa,forbidden,403,6,1,2,1,2,
Latest Analysis: Conflict in the Middle East | CSIS,https://www.csis.org/programs/latest-analysis-conflict-middle-east,sub_saharan_africa,ok,200,9,3,2,2,2,
"Middle East: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/middle-east,israel_lebanon,ok,200,7,3,2,0,2,
Middle East Conflict Monitor | ACLED,https://acleddata.com/monitor/middle-east-conflict-monitor,think_tanks,ok,200,9,3,2,2,2,
"Central Asia: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/russia-and-eurasia/central-asia,central_asia_india,ok,200,7,3,2,0,2,
Russia-China Relations in Central Asia - CEPA,https://cepa.org/commentary/sino-russian-relations-in-central-asia/,central_asia_india,ok,200,6,3,2,0,1,
What Russia’s war on Ukraine means for Central Asia - Atlantic Council,https://www.atlanticcouncil.org/blogs/new-atlanticist/what-russias-war-on-ukraine-means-for-central-asia/,central_asia_india,ok,200,6,3,2,0,1,
Southeast Asia Regional Security Outlook in 2025: A Perspective,https://rsdi.ae/en/publications/southeast-asia-regional-security-outlook-in-2025-a-perspective,military_osint,ok,200,7,3,2,0,2,
Regional Security Architecture Programme - RSIS,https://rsis.edu.sg/research/idss/research-programmes/regional-security-architecture-programme/,,forbidden,403,5,1,2,0,2,
Regional Security in Southeast Asia: Beyond the ASEAN Way | ISEAS Publishing,https://bookshop.iseas.edu.sg/publication/1547,southeast_asia,ok,200,7,3,2,0,2,
Oceania | Council on Foreign Relations,https://www.cfr.org/oceania,oceania_pacific,ok,200,6,3,2,0,1,
The global contest for the Pacific | Lowy Institute,https://www.lowyinstitute.org/the-interpreter/global-contest-pacific,oceania_pacific,ok,200,8,3,2,1,2,
The new geopolitics of the Pacific Island nations - FES Asia,https://asia.fes.de/news/geopolitics-pacific-islands.html,sub_saharan_africa,ok,200,7,3,2,1,1,
"Oversight Chairman Comer launches congressional probe into insider trading on Kalshi, Polymarket",https://www.cnbc.com/2026/05/22/kalshi-polymarket-comer-insider-trading-probe-congress.html,prediction_markets,ok,200,6,3,2,0,1,
Polymarket to let users make prediction market bets on private companies - CBS News,https://www.cbsnews.com/news/polymarket-prediction-market-private-company-performance-kalshi/,,ok,200,7,3,2,1,1,
"House Oversight Chair James Comer launches probe into Kalshi, Polymarket",https://thehill.com/homenews/house/5891863-congressional-probe-prediction-markets/,,ok,200,7,3,2,1,1,
Bruegel releases enhanced RSS feeds,https://www.bruegel.org/blog-post/bruegel-releases-enhanced-rss-feeds,think_tanks,forbidden,403,5,1,2,1,1,
Top 15 Europe Defense RSS Feeds,https://rss.feedspot.com/europe_defense_rss_feeds/,europe,ok,200,9,3,2,2,2,
Subscribe via RSS feed – European Council on Foreign Relations,https://ecfr.eu/feeds/,,ok,200,7,3,2,1,1,
U.S. News and National Top Stories : NPR,https://www.npr.org/sections/national/,,ok,200,7,3,2,1,1,
Top 45 Homeland Security RSS Feeds,https://rss.feedspot.com/homeland_security_rss_feeds/,north_america,ok,200,8,3,2,1,2,
"National Security News: Latest News and Investigations on Homeland Security, Military, Foreign Intelligence & More | NBC News",https://www.nbcnews.com/politics/national-security,,ok,200,9,3,2,2,2,
"South America: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/americas/south-america,,ok,200,7,3,2,0,2,
Top 60 Geopolitics RSS Feeds - RSS Database,https://rss.feedspot.com/geopolitics_rss_feeds/,,ok,200,7,3,2,1,1,
RSS | International Crisis Group,https://www.crisisgroup.org/rss-0,think_tanks,ok,200,9,3,2,2,2,
RSS feeds - Africa Intelligence,https://www.africaintelligence.com/info/rss,sub_saharan_africa,ok,200,9,3,2,2,2,
Security : latest news | The Africa Report,https://www.theafricareport.com/sections/security/,sub_saharan_africa,forbidden,403,6,1,2,1,2,
Africa Intelligence: exclusive news on Africa,https://www.africaintelligence.com/,sub_saharan_africa,ok,200,9,3,2,2,2,
Latest Analysis: Conflict in the Middle East | CSIS,https://www.csis.org/programs/latest-analysis-conflict-middle-east,think_tanks,ok,200,9,3,2,2,2,
Middle East Conflict Monitor | ACLED,https://acleddata.com/monitor/middle-east-conflict-monitor,middle_east,ok,200,9,3,2,2,2,
"Middle East: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/middle-east,,ok,200,7,3,2,0,2,
"Central Asia: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/russia-and-eurasia/central-asia,russia_ukraine,ok,200,7,3,2,0,2,
Russia-China Relations in Central Asia - CEPA,https://cepa.org/commentary/sino-russian-relations-in-central-asia/,think_tanks,ok,200,6,3,2,0,1,
What Russia’s war on Ukraine means for Central Asia - Atlantic Council,https://www.atlanticcouncil.org/blogs/new-atlanticist/what-russias-war-on-ukraine-means-for-central-asia/,think_tanks,ok,200,6,3,2,0,1,
Southeast Asia Regional Security Outlook in 2025: A Perspective,https://rsdi.ae/en/publications/southeast-asia-regional-security-outlook-in-2025-a-perspective,,ok,200,7,3,2,0,2,
Regional Security Architecture Programme - RSIS,https://rsis.edu.sg/research/idss/research-programmes/regional-security-architecture-programme/,,forbidden,403,5,1,2,0,2,
Regional Security in Southeast Asia: Beyond the ASEAN Way | ISEAS Publishing,https://bookshop.iseas.edu.sg/publication/1547,,ok,200,7,3,2,0,2,
Oceania | Council on Foreign Relations,https://www.cfr.org/oceania,oceania_pacific,ok,200,6,3,2,0,1,
The global contest for the Pacific | Lowy Institute,https://www.lowyinstitute.org/the-interpreter/global-contest-pacific,oceania_pacific,ok,200,8,3,2,1,2,
The new geopolitics of the Pacific Island nations - FES Asia,https://asia.fes.de/news/geopolitics-pacific-islands.html,middle_east,ok,200,7,3,2,1,1,
Middle East Politics Newsletter | Substack,https://mideastpolitics.substack.com/,,ok,200,7,3,2,1,1,
💪🇺🇦 The War Comes Home: Ukraine Strikes the Heart of Moscow,https://brentmolnar.substack.com/p/the-war-comes-home-ukraine-strikes,russia_ukraine,ok,200,6,3,2,0,1,
Russian Offensive Campaign Update | Product Line | ISW,https://understandingwar.org/analysis/russia-ukraine/russian-offensive-campaign-assessment/,russia_ukraine,forbidden,403,5,1,2,0,2,
Understanding the Russian Military Today | Russia and Eurasia | CSIS,https://www.csis.org/programs/europe-russia-and-eurasia-program/archives/russia-and-eurasia/understanding-russian,europe,ok,200,9,3,2,2,2,
NATO Agrees to New Defense Spending Target | Council on Foreign Relations,https://www.cfr.org/articles/nato-agrees-new-defense-spending-target,,ok,200,9,3,2,2,2,
Geopolitical Europe | Gesine Weber | Substack,https://geopoliticaleurope.substack.com/,europe,ok,200,6,3,2,0,1,
Policy Brief - Towards a European Security Council,https://iepbu.substack.com/p/policy-brief-towards-a-european-security,europe,ok,200,7,3,2,0,2,
About ECFR – European Council on Foreign Relations,https://ecfr.eu/about/,think_tanks,ok,200,6,3,2,0,1,
China & Taiwan Coverage | Institute for the Study of War,https://understandingwar.org/analysis/china-taiwan/,china_asia,forbidden,403,5,1,2,0,2,
Home | Asia Maritime Transparency Initiative,https://amti.csis.org/,,ok,200,7,3,2,0,2,
"Oversight Chairman Comer launches congressional probe into insider trading on Kalshi, Polymarket",https://www.cnbc.com/2026/05/22/kalshi-polymarket-comer-insider-trading-probe-congress.html,,ok,200,6,3,2,0,1,
Polymarket to let users make prediction market bets on private companies - CBS News,https://www.cbsnews.com/news/polymarket-prediction-market-private-company-performance-kalshi/,,ok,200,7,3,2,1,1,
Kalshi and Polymarket Are Spoiling Reality TV Shows — and Studios Don’t Know What to Do About It,https://variety.com/2026/tv/news/kalshi-polymarket-spoilers-reality-studios-1236756590/,,ok,200,7,3,2,1,1,
Bruegel releases enhanced RSS feeds,https://www.bruegel.org/blog-post/bruegel-releases-enhanced-rss-feeds,europe,forbidden,403,5,1,2,1,1,
Top 15 Europe Defense RSS Feeds,https://rss.feedspot.com/europe_defense_rss_feeds/,europe,ok,200,9,3,2,2,2,
Subscribe via RSS feed – European Council on Foreign Relations,https://ecfr.eu/feeds/,,ok,200,7,3,2,1,1,
Top 45 Homeland Security RSS Feeds,https://rss.feedspot.com/homeland_security_rss_feeds/,,ok,200,8,3,2,1,2,
U.S. News and National Top Stories : NPR,https://www.npr.org/sections/national/,,ok,200,7,3,2,1,1,
60 Best Political News RSS Feeds,https://rss.feedspot.com/political_news_rss_feeds/,north_america,ok,200,7,3,2,1,1,
"China & Taiwan Update, January 2, 2026 | ISW",https://understandingwar.org/research/china-taiwan/china-taiwan-update-january-2-2026/,china_asia,forbidden,403,5,1,2,0,2,
"Mexico’s Long War: Drugs, Crime, and the Cartels | Council on Foreign Relations",https://www.cfr.org/backgrounders/mexicos-long-war-drugs-crime-and-cartels,,ok,200,6,3,2,0,1,
US Oil Industry Data Analysis | Substack,https://pauldial.substack.com/,,ok,200,7,3,2,0,2,
US Oil Industry Data Analysis | Substack,https://substack.com/@usoilindustry,,ok,200,7,3,2,0,2,
Substacks recommended by The Crude Chronicles,https://thecrudechronicles.substack.com/recommendations,energy,ok,200,6,3,2,0,1,
"Markets, Pipelines & Beyond | Substack",https://oilmarkets.substack.com/,,ok,200,6,3,2,0,1,
Global Conflict Awareness — Live Strike Map: US·Israel vs Iran·Axis | OSINT Tracker 2026-03-10,https://globalconflictawareness.com/,,ok,200,8,3,2,2,1,
Middle East AI News | Carrington Malin | Substack,https://www.middleeastainews.com/,,ok,200,7,3,2,1,1,
Middle East Uncovered | Substack,https://www.themiddleeastuncovered.com/,,ok,200,6,3,2,0,1,
Monitoring the Strait of Hormuz: Real-Time Maritime Risk & Transit Data,https://www.seavantage.com/blog/strait-of-hormuz-maritime-risk-intelligence,,ok,200,9,3,2,2,2,
35 Best Caribbean News RSS Feeds,https://rss.feedspot.com/caribbean_news_rss_feeds/,central_america_caribbean,ok,200,7,3,2,1,1,
Central America Newswire - World News Report - EIN Presswire,https://world.einnews.com/region/central-america,central_america_caribbean,forbidden,403,5,1,2,1,1,
Reuters Americas | Latest News in Central & Latin America | Reuters,https://www.reuters.com/world/americas/,south_america,http_401,401,5,1,2,1,1,
"South America: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/americas/south-america,,ok,200,7,3,2,0,2,
Top 60 Geopolitics RSS Feeds - RSS Database,https://rss.feedspot.com/geopolitics_rss_feeds/,,ok,200,7,3,2,1,1,
RSS | International Crisis Group,https://www.crisisgroup.org/rss-0,,ok,200,9,3,2,2,2,
Bruegel releases enhanced RSS feeds,https://www.bruegel.org/blog-post/bruegel-releases-enhanced-rss-feeds,,forbidden,403,5,1,2,1,1,
Top 15 Europe Defense RSS Feeds,https://rss.feedspot.com/europe_defense_rss_feeds/,europe,ok,200,9,3,2,2,2,
Subscribe via RSS feed – European Council on Foreign Relations,https://ecfr.eu/feeds/,,ok,200,7,3,2,1,1,
U.S. News and National Top Stories : NPR,https://www.npr.org/sections/national/,,ok,200,7,3,2,1,1,
Top 45 Homeland Security RSS Feeds,https://rss.feedspot.com/homeland_security_rss_feeds/,,ok,200,8,3,2,1,2,
60 Best Political News RSS Feeds,https://rss.feedspot.com/political_news_rss_feeds/,,ok,200,7,3,2,1,1,
35 Best Caribbean News RSS Feeds,https://rss.feedspot.com/caribbean_news_rss_feeds/,central_america_caribbean,ok,200,7,3,2,1,1,
Central America Newswire - World News Report - EIN Presswire,https://world.einnews.com/region/central-america,south_america,forbidden,403,5,1,2,1,1,
NHC and CPHC RSS Feeds - National Hurricane Center,https://www.nhc.noaa.gov/aboutrss.shtml,,ok,200,7,3,2,1,1,
"South America: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/americas/south-america,,ok,200,7,3,2,0,2,
Top 60 Geopolitics RSS Feeds - RSS Database,https://rss.feedspot.com/geopolitics_rss_feeds/,,ok,200,7,3,2,1,1,
RSS | International Crisis Group,https://www.crisisgroup.org/rss-0,,ok,200,9,3,2,2,2,
RSS feeds - Africa Intelligence,https://www.africaintelligence.com/info/rss,sub_saharan_africa,ok,200,9,3,2,2,2,
Africa Intelligence: exclusive news on Africa,https://www.africaintelligence.com/,sub_saharan_africa,ok,200,9,3,2,2,2,
Security : latest news | The Africa Report,https://www.theafricareport.com/sections/security/,central_asia_india,forbidden,403,6,1,2,1,2,
Latest Analysis: Conflict in the Middle East | CSIS,https://www.csis.org/programs/latest-analysis-conflict-middle-east,,ok,200,9,3,2,2,2,
"Middle East: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/middle-east,,ok,200,7,3,2,0,2,
Middle East Conflict Monitor | ACLED,https://acleddata.com/monitor/middle-east-conflict-monitor,,ok,200,9,3,2,2,2,
"Central Asia: Analysis, Research, & Events | CSIS",https://www.csis.org/regions/russia-and-eurasia/central-asia,russia_ukraine,ok,200,7,3,2,0,2,
Russia-China Relations in Central Asia - CEPA,https://cepa.org/commentary/sino-russian-relations-in-central-asia/,russia_ukraine,ok,200,6,3,2,0,1,
What Russia’s war on Ukraine means for Central Asia - Atlantic Council,https://www.atlanticcouncil.org/blogs/new-atlanticist/what-russias-war-on-ukraine-means-for-central-asia/,russia_ukraine,ok,200,6,3,2,0,1,
Southeast Asia Regional Security Outlook in 2025: A Perspective,https://rsdi.ae/en/publications/southeast-asia-regional-security-outlook-in-2025-a-perspective,,ok,200,7,3,2,0,2,
Regional Security Architecture Programme - RSIS,https://rsis.edu.sg/research/idss/research-programmes/regional-security-architecture-programme/,,forbidden,403,5,1,2,0,2,
Regional Security in Southeast Asia: Beyond the ASEAN Way | ISEAS Publishing,https://bookshop.iseas.edu.sg/publication/1547,,ok,200,7,3,2,0,2,
Oceania | Council on Foreign Relations,https://www.cfr.org/oceania,oceania_pacific,ok,200,6,3,2,0,1,
The global contest for the Pacific | Lowy Institute,https://www.lowyinstitute.org/the-interpreter/global-contest-pacific,oceania_pacific,ok,200,8,3,2,1,2,
