source,country_code,country_name,feed_url,verification_status,cms,tier
InSight Crime (English),PAN-REGIONAL,PAN-REGIONAL,https://insightcrime.org/feed/,verified,unknown,
InSight Crime Español,PAN-REGIONAL,PAN-REGIONAL,https://es.insightcrime.org/feed/,likely,unknown,
CONNECTAS,PAN-REGIONAL,PAN-REGIONAL,https://www.connectas.org/feed/,likely,wordpress,
OCCRP,PAN-REGIONAL,PAN-REGIONAL,https://www.occrp.org/en/rss.xml,verified,unknown,
El Faro,PAN-REGIONAL,PAN-REGIONAL,https://elfaro.net/rss,likely,unknown,
BBC News Mundo,PAN-REGIONAL,PAN-REGIONAL,https://feeds.bbci.co.uk/mundo/rss.xml,verified,unknown,
DW Español,PAN-REGIONAL,PAN-REGIONAL,https://rss.dw.com/rdf/rss-sp-all,verified,unknown,
VOA Voz de América,PAN-REGIONAL,PAN-REGIONAL,https://www.vozdeamerica.com/api/zmgqoe$mqi,likely,unknown,
France 24 Español,PAN-REGIONAL,PAN-REGIONAL,https://www.france24.com/es/rss,verified,unknown,
RFI en español,PAN-REGIONAL,PAN-REGIONAL,https://www.rfi.fr/es/rss,verified,unknown,
Infobae América (all sections),PAN-REGIONAL,PAN-REGIONAL,https://www.infobae.com/america/feed/,likely,arc,
Nodal,PAN-REGIONAL,PAN-REGIONAL,https://www.nodal.am/feed/,likely,wordpress,
Latin American Reports,PAN-REGIONAL,PAN-REGIONAL,https://latinamericareports.com/feed/,verified,unknown,
Distintas Latitudes,PAN-REGIONAL,PAN-REGIONAL,https://distintaslatitudes.net/feed,likely,unknown,
Telesur,PAN-REGIONAL,PAN-REGIONAL,https://www.telesurtv.net/rss/index/index.xml,likely,unknown,
Sputnik Mundo,PAN-REGIONAL,PAN-REGIONAL,https://noticiaslatam.lat/export/rss2/article/index.xml,pattern_guess,unknown,
Diálogo Político (KAS),PAN-REGIONAL,PAN-REGIONAL,https://dialogopolitico.org/feed/,likely,unknown,
Inter-American Dialogue,PAN-REGIONAL,PAN-REGIONAL,https://www.thedialogue.org/feed/,likely,unknown,
Nueva Sociedad (FES),PAN-REGIONAL,PAN-REGIONAL,https://nuso.org/feed/,likely,unknown,
WOLA,PAN-REGIONAL,PAN-REGIONAL,https://www.wola.org/feed/,likely,unknown,
Igarapé Institute,PAN-REGIONAL,PAN-REGIONAL,https://igarape.org.br/feed/,likely,unknown,
